G,variable,value
57.0,FG,0.35
56.0,FG,0.4
55.0,FG,0.45
54.0,FG,0.5
53.0,FG,0.55
52.0,FG,0.175
51.0,FG,0.375
50.0,FG,0.425
49.0,FG,0.35
48.0,FG,0.35
47.0,FG,0.375
46.0,FG,0.7
45.0,FG,0.625
44.0,FG,0.4
43.0,FG,0.5
42.0,FG,0.325
41.0,FG,0.5
40.0,FG,0.35
39.0,FG,0.525
38.0,FG,0.45
37.0,FG,0.45
36.0,FG,0.325
35.0,FG,0.475
34.0,FG,0.4
33.0,FG,0.525
32.0,FG,0.475
31.0,FG,0.575
30.0,FG,0.475
29.0,FG,0.4
28.0,FG,0.275
27.0,FG,0.475
26.0,FG,0.3
25.0,FG,0.375
24.0,FG,0.45
23.0,FG,0.225
22.0,FG,0.525
21.0,FG,0.5
20.0,FG,0.4
19.0,FG,0.35
18.0,FG,0.45
17.0,FG,0.45
16.0,FG,0.5
15.0,FG,0.575
14.0,FG,0.4
13.0,FG,0.275
12.0,FG,0.225
11.0,FG,0.275
10.0,FG,0.4
9.0,FG,0.325
8.0,FG,0.325
7.0,FG,0.325
6.0,FG,0.475
5.0,FG,0.6
4.0,FG,0.475
3.0,FG,0.425
2.0,FG,0.4
1.0,FG,0.65
82.0,FG,0.375
81.0,FG,0.3
80.0,FG,0.45
79.0,FG,0.55
78.0,FG,0.35
77.0,FG,0.475
76.0,FG,0.475
75.0,FG,0.375
74.0,FG,0.225
73.0,FG,0.325
72.0,FG,0.325
71.0,FG,0.45
70.0,FG,0.6
69.0,FG,0.35
68.0,FG,0.45
67.0,FG,0.35
66.0,FG,0.3
65.0,FG,0.475
64.0,FG,0.375
63.0,FG,0.475
62.0,FG,0.525
61.0,FG,0.375
60.0,FG,0.425
59.0,FG,0.475
58.0,FG,0.675
57.0,FG,0.625
56.0,FG,0.2
55.0,FG,0.625
54.0,FG,0.425
53.0,FG,0.725
52.0,FG,0.4
51.0,FG,0.5
50.0,FG,0.45
49.0,FG,0.425
48.0,FG,0.525
47.0,FG,0.475
46.0,FG,0.55
45.0,FG,0.525
44.0,FG,0.525
43.0,FG,0.525
42.0,FG,0.45
41.0,FG,0.425
40.0,FG,0.5
39.0,FG,0.45
38.0,FG,0.5
37.0,FG,0.375
36.0,FG,0.325
35.0,FG,0.3
34.0,FG,0.475
33.0,FG,0.3
32.0,FG,0.4
31.0,FG,0.35
30.0,FG,0.425
29.0,FG,0.35
28.0,FG,0.6
27.0,FG,0.3
26.0,FG,0.525
25.0,FG,0.15
24.0,FG,0.45
23.0,FG,0.675
22.0,FG,0.4
21.0,FG,0.45
20.0,FG,0.425
19.0,FG,0.45
18.0,FG,0.4
17.0,FG,0.35
16.0,FG,0.5
15.0,FG,0.225
14.0,FG,0.3
13.0,FG,0.325
12.0,FG,0.725
11.0,FG,0.4
10.0,FG,0.55
9.0,FG,0.425
8.0,FG,0.5
7.0,FG,0.25
6.0,FG,0.4
5.0,FG,0.55
4.0,FG,0.325
3.0,FG,0.325
2.0,FG,0.25
1.0,FG,0.425
82.0,FG,0.5
81.0,FG,0.4
80.0,FG,0.6
79.0,FG,0.4
78.0,FG,0.35
77.0,FG,0.625
76.0,FG,0.425
75.0,FG,0.425
74.0,FG,0.575
73.0,FG,0.425
72.0,FG,0.175
71.0,FG,0.15
70.0,FG,0.625
69.0,FG,0.4
68.0,FG,0.325
67.0,FG,0.55
66.0,FG,0.55
65.0,FG,0.325
64.0,FG,0.375
63.0,FG,0.375
62.0,FG,0.425
61.0,FG,0.325
60.0,FG,0.35
59.0,FG,0.275
58.0,FG,0.225
57.0,FG,0.45
56.0,FG,0.45
55.0,FG,0.5
54.0,FG,0.425
53.0,FG,0.5
52.0,FG,0.45
51.0,FG,0.2
50.0,FG,0.35
49.0,FG,0.425
48.0,FG,0.45
47.0,FG,0.5
46.0,FG,0.2
45.0,FG,0.25
44.0,FG,0.5
43.0,FG,0.325
