G,variable,value
44.0,FG,42.0
43.0,FG,35.0
42.0,FG,41.0
41.0,FG,37.0
40.0,FG,39.0
39.0,FG,33.0
38.0,FG,42.0
37.0,FG,34.0
36.0,FG,37.0
35.0,FG,39.0
34.0,FG,41.0
33.0,FG,35.0
32.0,FG,36.0
31.0,FG,45.0
30.0,FG,38.0
29.0,FG,44.0
28.0,FG,32.0
27.0,FG,45.0
26.0,FG,33.0
25.0,FG,33.0
24.0,FG,48.0
23.0,FG,44.0
22.0,FG,38.0
21.0,FG,37.0
20.0,FG,38.0
19.0,FG,47.0
18.0,FG,36.0
17.0,FG,46.0
16.0,FG,37.0
15.0,FG,41.0
14.0,FG,36.0
13.0,FG,37.0
12.0,FG,37.0
11.0,FG,38.0
10.0,FG,41.0
9.0,FG,45.0
8.0,FG,48.0
7.0,FG,37.0
6.0,FG,42.0
5.0,FG,39.0
4.0,FG,40.0
3.0,FG,45.0
2.0,FG,37.0
1.0,FG,49.0
82.0,FG,39.0
81.0,FG,40.0
80.0,FG,42.0
79.0,FG,41.0
78.0,FG,37.0
77.0,FG,42.0
76.0,FG,38.0
75.0,FG,32.0
74.0,FG,31.0
73.0,FG,40.0
72.0,FG,40.0
71.0,FG,32.0
70.0,FG,35.0
69.0,FG,39.0
68.0,FG,34.0
67.0,FG,45.0
66.0,FG,29.0
65.0,FG,34.0
64.0,FG,32.0
63.0,FG,47.0
62.0,FG,31.0
61.0,FG,30.0
60.0,FG,38.0
59.0,FG,43.0
58.0,FG,37.0
57.0,FG,34.0
56.0,FG,38.0
55.0,FG,34.0
54.0,FG,37.0
53.0,FG,42.0
52.0,FG,33.0
51.0,FG,40.0
50.0,FG,41.0
49.0,FG,41.0
48.0,FG,32.0
47.0,FG,32.0
46.0,FG,28.0
45.0,FG,32.0
44.0,FG,41.0
43.0,FG,33.0
42.0,FG,33.0
41.0,FG,44.0
40.0,FG,29.0
39.0,FG,38.0
38.0,FG,44.0
37.0,FG,38.0
36.0,FG,39.0
35.0,FG,35.0
34.0,FG,35.0
33.0,FG,31.0
32.0,FG,32.0
31.0,FG,35.0
30.0,FG,38.0
29.0,FG,32.0
28.0,FG,42.0
27.0,FG,40.0
26.0,FG,38.0
25.0,FG,33.0
24.0,FG,33.0
23.0,FG,35.0
22.0,FG,39.0
21.0,FG,43.0
20.0,FG,38.0
19.0,FG,35.0
18.0,FG,38.0
17.0,FG,38.0
16.0,FG,35.0
15.0,FG,33.0
14.0,FG,35.0
13.0,FG,39.0
12.0,FG,32.0
11.0,FG,34.0
10.0,FG,37.0
9.0,FG,29.0
8.0,FG,51.0
7.0,FG,46.0
6.0,FG,34.0
5.0,FG,40.0
4.0,FG,33.0
3.0,FG,31.0
2.0,FG,34.0
1.0,FG,32.0
81.0,FG,37.0
80.0,FG,48.0
79.0,FG,41.0
78.0,FG,37.0
77.0,FG,43.0
76.0,FG,36.0
75.0,FG,36.0
74.0,FG,42.0
73.0,FG,32.0
72.0,FG,45.0
71.0,FG,34.0
70.0,FG,31.0
69.0,FG,38.0
68.0,FG,32.0
67.0,FG,33.0
66.0,FG,39.0
65.0,FG,41.0
64.0,FG,39.0
63.0,FG,27.0
62.0,FG,29.0
61.0,FG,40.0
60.0,FG,34.0
59.0,FG,42.0
58.0,FG,36.0
57.0,FG,41.0
56.0,FG,36.0
55.0,FG,44.0
54.0,FG,39.0
53.0,FG,35.0
52.0,FG,28.0
51.0,FG,32.0
50.0,FG,43.0
49.0,FG,46.0
48.0,FG,35.0
47.0,FG,36.0
46.0,FG,42.0
45.0,FG,39.0
44.0,FG,36.0
43.0,FG,42.0
42.0,FG,31.0
41.0,FG,32.0
40.0,FG,33.0
39.0,FG,38.0
38.0,FG,34.0
37.0,FG,39.0
36.0,FG,41.0
35.0,FG,37.0
34.0,FG,39.0
33.0,FG,39.0
32.0,FG,40.0
31.0,FG,32.0
30.0,FG,36.0
29.0,FG,31.0
28.0,FG,29.0
27.0,FG,38.0
26.0,FG,36.0
25.0,FG,37.0
24.0,FG,35.0
23.0,FG,38.0
22.0,FG,34.0
21.0,FG,43.0
20.0,FG,40.0
19.0,FG,35.0
18.0,FG,41.0
17.0,FG,34.0
16.0,FG,36.0
15.0,FG,32.0
14.0,FG,47.0
13.0,FG,39.0
12.0,FG,41.0
11.0,FG,32.0
10.0,FG,43.0
9.0,FG,35.0
8.0,FG,36.0
7.0,FG,41.0
6.0,FG,32.0
5.0,FG,37.0
4.0,FG,34.0
3.0,FG,36.0
2.0,FG,33.0
1.0,FG,39.0
66.0,FG,35.0
65.0,FG,32.0
64.0,FG,39.0
63.0,FG,38.0
62.0,FG,36.0
61.0,FG,39.0
60.0,FG,37.0
59.0,FG,30.0
58.0,FG,37.0
57.0,FG,43.0
56.0,FG,40.0
55.0,FG,32.0
54.0,FG,33.0
53.0,FG,38.0
52.0,FG,33.0
51.0,FG,44.0
50.0,FG,36.0
49.0,FG,33.0
48.0,FG,34.0
47.0,FG,36.0
46.0,FG,43.0
45.0,FG,29.0
44.0,FG,36.0
43.0,FG,36.0
42.0,FG,40.0
41.0,FG,33.0
40.0,FG,39.0
39.0,FG,42.0
38.0,FG,28.0
37.0,FG,35.0
36.0,FG,45.0
35.0,FG,45.0
34.0,FG,40.0
33.0,FG,33.0
32.0,FG,34.0
31.0,FG,29.0
30.0,FG,32.0
29.0,FG,31.0
28.0,FG,34.0
27.0,FG,37.0
26.0,FG,29.0
25.0,FG,38.0
24.0,FG,41.0
23.0,FG,36.0
22.0,FG,31.0
21.0,FG,39.0
20.0,FG,37.0
19.0,FG,36.0
18.0,FG,38.0
17.0,FG,34.0
16.0,FG,33.0
15.0,FG,37.0
14.0,FG,30.0
13.0,FG,34.0
12.0,FG,34.0
11.0,FG,32.0
10.0,FG,31.0
9.0,FG,29.0
8.0,FG,26.0
7.0,FG,35.0
6.0,FG,38.0
5.0,FG,37.0
4.0,FG,35.0
3.0,FG,29.0
2.0,FG,37.0
1.0,FG,39.0
82.0,FG,48.0
81.0,FG,32.0
80.0,FG,29.0
79.0,FG,36.0
78.0,FG,28.0
77.0,FG,40.0
76.0,FG,41.0
75.0,FG,33.0
74.0,FG,46.0
73.0,FG,34.0
72.0,FG,30.0
71.0,FG,29.0
70.0,FG,29.0
69.0,FG,37.0
68.0,FG,35.0
67.0,FG,30.0
66.0,FG,30.0
65.0,FG,35.0
64.0,FG,33.0
63.0,FG,33.0
62.0,FG,37.0
61.0,FG,35.0
60.0,FG,39.0
59.0,FG,44.0
58.0,FG,39.0
57.0,FG,30.0
56.0,FG,30.0
55.0,FG,50.0
54.0,FG,31.0
53.0,FG,30.0
52.0,FG,33.0
51.0,FG,31.0
50.0,FG,30.0
49.0,FG,40.0
48.0,FG,38.0
47.0,FG,44.0
46.0,FG,27.0
45.0,FG,30.0
44.0,FG,42.0
43.0,FG,34.0
42.0,FG,37.0
41.0,FG,34.0
40.0,FG,42.0
39.0,FG,36.0
38.0,FG,50.0
37.0,FG,38.0
36.0,FG,28.0
35.0,FG,46.0
34.0,FG,46.0
33.0,FG,37.0
32.0,FG,38.0
31.0,FG,34.0
30.0,FG,34.0
29.0,FG,37.0
28.0,FG,28.0
27.0,FG,31.0
26.0,FG,41.0
25.0,FG,44.0
24.0,FG,45.0
23.0,FG,31.0
22.0,FG,38.0
21.0,FG,38.0
20.0,FG,39.0
19.0,FG,43.0
18.0,FG,36.0
17.0,FG,44.0
16.0,FG,41.0
15.0,FG,35.0
14.0,FG,40.0
13.0,FG,34.0
12.0,FG,33.0
11.0,FG,50.0
10.0,FG,45.0
9.0,FG,43.0
8.0,FG,38.0
7.0,FG,36.0
6.0,FG,42.0
5.0,FG,37.0
4.0,FG,42.0
3.0,FG,44.0
2.0,FG,34.0
1.0,FG,32.0
82.0,FG,36.0
81.0,FG,35.0
80.0,FG,35.0
79.0,FG,38.0
78.0,FG,40.0
77.0,FG,40.0
76.0,FG,39.0
75.0,FG,43.0
74.0,FG,44.0
73.0,FG,27.0
72.0,FG,36.0
71.0,FG,44.0
70.0,FG,33.0
69.0,FG,39.0
68.0,FG,37.0
67.0,FG,42.0
66.0,FG,46.0
65.0,FG,32.0
64.0,FG,45.0
63.0,FG,35.0
62.0,FG,30.0
61.0,FG,30.0
60.0,FG,35.0
59.0,FG,38.0
58.0,FG,35.0
57.0,FG,42.0
56.0,FG,33.0
55.0,FG,44.0
54.0,FG,45.0
53.0,FG,39.0
52.0,FG,37.0
51.0,FG,30.0
50.0,FG,34.0
49.0,FG,35.0
48.0,FG,36.0
47.0,FG,37.0
46.0,FG,34.0
45.0,FG,34.0
44.0,FG,31.0
43.0,FG,35.0
42.0,FG,34.0
41.0,FG,38.0
40.0,FG,30.0
39.0,FG,39.0
38.0,FG,32.0
37.0,FG,43.0
36.0,FG,36.0
35.0,FG,40.0
34.0,FG,31.0
33.0,FG,36.0
32.0,FG,36.0
31.0,FG,35.0
30.0,FG,40.0
29.0,FG,39.0
28.0,FG,31.0
27.0,FG,30.0
26.0,FG,42.0
25.0,FG,36.0
24.0,FG,42.0
23.0,FG,38.0
22.0,FG,37.0
21.0,FG,35.0
20.0,FG,39.0
19.0,FG,36.0
18.0,FG,36.0
17.0,FG,36.0
16.0,FG,48.0
15.0,FG,38.0
14.0,FG,35.0
13.0,FG,30.0
12.0,FG,42.0
11.0,FG,39.0
10.0,FG,36.0
9.0,FG,41.0
8.0,FG,31.0
7.0,FG,45.0
6.0,FG,37.0
5.0,FG,41.0
4.0,FG,41.0
3.0,FG,43.0
