G,variable,value
1,3P%,0.5
1,3PA,0.3230769230769231
1,AST,0.42105263157894735
1,FG%,0.5425531914893617
1,FT%,0.0044054547365805635
1,TOV,0.41935483870967744
2,3P%,0.462
2,3PA,0.35384615384615387
2,AST,0.381578947368421
2,FG%,0.49574468085106377
2,FT%,0.003980199344437755
2,TOV,0.45161290322580644
3,3P%,0.5
3,3PA,0.3384615384615385
3,AST,0.42105263157894735
3,FG%,0.5170212765957446
3,FT%,0.004577468153627093
3,TOV,0.45161290322580644
4,3P%,0.4915
4,3PA,0.3230769230769231
4,AST,0.4473684210526316
4,FG%,0.5425531914893617
4,FT%,0.0044054547365805635
4,TOV,0.3870967741935484
5,3P%,0.5095000000000001
5,3PA,0.3076923076923077
5,AST,0.42105263157894735
5,FG%,0.5212765957446808
5,FT%,0.004778150473514711
5,TOV,0.3870967741935484
6,3P%,0.5
6,3PA,0.3769230769230769
6,AST,0.42105263157894735
6,FG%,0.502127659574468
6,FT%,0.004233441319534035
6,TOV,0.3709677419354839
7,3P%,0.5
7,3PA,0.3307692307692308
7,AST,0.4473684210526316
7,FG%,0.5446808510638297
7,FT%,0.004233441319534035
7,TOV,0.3548387096774194
8,3P%,0.5354999999999999
8,3PA,0.3307692307692308
8,AST,0.42105263157894735
8,FG%,0.5127659574468084
8,FT%,0.004773372323041197
8,TOV,0.3548387096774194
9,3P%,0.5379999999999999
9,3PA,0.36923076923076925
9,AST,0.39473684210526316
9,FG%,0.5212765957446808
9,FT%,0.004233441319534035
9,TOV,0.3870967741935484
10,3P%,0.625
10,3PA,0.3769230769230769
10,AST,0.3684210526315789
10,FG%,0.5031914893617021
10,FT%,0.004329004329004329
10,TOV,0.45161290322580644
11,3P%,0.571
11,3PA,0.3153846153846154
11,AST,0.39473684210526316
11,FG%,0.5106382978723404
11,FT%,0.0044054547365805635
11,TOV,0.4032258064516129
12,3P%,0.481
12,3PA,0.35384615384615387
12,AST,0.3684210526315789
12,FG%,0.4989361702127658
12,FT%,0.004386342134686505
12,TOV,0.3709677419354839
13,3P%,0.5
13,3PA,0.38461538461538464
13,AST,0.3684210526315789
13,FG%,0.4702127659574467
13,FT%,0.004505795896524373
13,TOV,0.33870967741935487
14,3P%,0.513
14,3PA,0.3307692307692308
14,AST,0.42105263157894735
14,FG%,0.5117021276595743
14,FT%,0.004233441319534035
14,TOV,0.3870967741935484
15,3P%,0.5
15,3PA,0.3384615384615385
15,AST,0.40789473684210525
15,FG%,0.5340425531914892
15,FT%,0.004209550567166461
15,TOV,0.45161290322580644
16,3P%,0.5355000000000001
16,3PA,0.3230769230769231
16,AST,0.35526315789473684
16,FG%,0.49148936170212754
16,FT%,0.004735147119253078
16,TOV,0.3870967741935484
17,3P%,0.488
17,3PA,0.3384615384615385
17,AST,0.39473684210526316
17,FG%,0.529787234042553
17,FT%,0.004529686648891947
17,TOV,0.3870967741935484
18,3P%,0.552
18,3PA,0.35384615384615387
18,AST,0.42105263157894735
18,FG%,0.529787234042553
18,FT%,0.004357673231845416
18,TOV,0.41935483870967744
19,3P%,0.526
19,3PA,0.3384615384615385
19,AST,0.42105263157894735
19,FG%,0.5170212765957446
19,FT%,0.004443679940368681
19,TOV,0.3709677419354839
20,3P%,0.5
20,3PA,0.34615384615384615
20,AST,0.42105263157894735
20,FG%,0.5468085106382978
20,FT%,0.004548799250786005
20,TOV,0.3870967741935484
21,3P%,0.5545
21,3PA,0.3615384615384616
21,AST,0.42105263157894735
21,FG%,0.5308510638297872
21,FT%,0.004825931978249858
21,TOV,0.3870967741935484
22,3P%,0.556
22,3PA,0.38461538461538464
22,AST,0.4473684210526316
22,FG%,0.6042553191489362
22,FT%,0.0040232026986993874
22,TOV,0.41935483870967744
23,3P%,0.5295
23,3PA,0.38461538461538464
23,AST,0.40789473684210525
23,FG%,0.5276595744680851
23,FT%,0.004434123639421652
23,TOV,0.41935483870967744
24,3P%,0.5
24,3PA,0.3230769230769231
24,AST,0.40789473684210525
24,FG%,0.5244680851063828
24,FT%,0.004505795896524373
24,TOV,0.3225806451612903
25,3P%,0.5
25,3PA,0.3384615384615385
25,AST,0.3684210526315789
25,FG%,0.5617021276595744
25,FT%,0.004443679940368682
25,TOV,0.3870967741935484
26,3P%,0.5
26,3PA,0.35384615384615387
26,AST,0.35526315789473684
26,FG%,0.5170212765957446
26,FT%,0.004443679940368681
26,TOV,0.4032258064516129
27,3P%,0.5
