Full Date,Month,Year,Word Count,Sentiment
September 1882,September,1882,919,0.09066083883048168
January 1883,January,1883,2387,0.1411914339347968
September 1883,September,1883,1465,0.08179464715179001
August 1883,August,1883,1698,0.10872480967308552
March 1882,March,1882,746,0.023249999999999993
January 1884,January,1884,416,0.13821839080459772
January 1883,January,1883,302,0.012831439393939393
July 1889,July,1889,1751,0.13489559136662796
July 1885,July,1885,844,0.14735660173160173
August 1880,August,1880,808,0.16090320910973083
January 1889,January,1889,1758,0.11154318002722255
November 1889,November,1889,794,0.2001556776556776
April 1888,April,1888,714,0.15209295334295334
September 1883,September,1883,376,0.24449404761904764
