G,Date,Start (ET),Sumat,Score,Where,Opponent,Result,OT,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 3 2017,8:00p,,Box Score,@,Milwaukee Bucks,L,,101,112,36,25,L 2,
62,Sat Mar 4 2017,8:30p,,Box Score,@,Chicago Bulls,W,,101,91,37,25,W 1,
63,Mon Mar 6 2017,10:30p,,Box Score,,Boston Celtics,W,,116,102,38,25,W 2,
64,Wed Mar 8 2017,8:00p,,Box Score,@,Minnesota Timberwolves,L,,91,107,38,26,L 1,
65,Thu Mar 9 2017,8:00p,,Box Score,@,Memphis Grizzlies,W,,114,98,39,26,W 1,
66,Sat Mar 11 2017,3:30p,,Box Score,,Philadelphia 76ers,W,,112,100,40,26,W 2,
67,Mon Mar 13 2017,9:00p,,Box Score,@,Utah Jazz,L,,108,114,40,27,L 1,
68,Wed Mar 15 2017,10:30p,,Box Score,,Milwaukee Bucks,L,,96,97,40,28,L 2,
69,Thu Mar 16 2017,9:00p,,Box Score,@,Denver Nuggets,L,,114,129,40,29,L 3,
70,Sat Mar 18 2017,8:30p,,Box Score,,Cleveland Cavaliers,W,,108,78,41,29,W 1,
71,Mon Mar 20 2017,10:30p,,Box Score,,New York Knicks,W,,114,105,42,29,W 2,
72,Tue Mar 21 2017,10:30p,,Box Score,@,Los Angeles Lakers,W,,133,109,43,29,W 3,
73,Thu Mar 23 2017,8:30p,,Box Score,@,Dallas Mavericks,L,,95,97,43,30,L 1,
74,Sat Mar 25 2017,3:30p,,Box Score,,Utah Jazz,W,,108,95,44,30,W 1,
75,Sun Mar 26 2017,3:30p,,Box Score,,Sacramento Kings,L,,97,98,44,31,L 1,
76,Wed Mar 29 2017,10:30p,,Box Score,,Washington Wizards,W,,133,124,45,31,W 1,
77,Thu Mar 30 2017,10:00p,,Box Score,@,Phoenix Suns,W,,124,118,46,31,W 2,
78,Sat Apr 1 2017,3:30p,,Box Score,,Los Angeles Lakers,W,,115,104,47,31,W 3,
79,Wed Apr 5 2017,10:30p,,Box Score,,Dallas Mavericks,W,,112,101,48,31,W 4,
80,Sat Apr 8 2017,8:30p,,Box Score,@,San Antonio Spurs,W,,98,87,49,31,W 5,
81,Mon Apr 10 2017,10:30p,,Box Score,,Houston Rockets,W,,125,96,50,31,W 6,
82,Wed Apr 12 2017,10:30p,,Box Score,,Sacramento Kings,W,,115,95,51,31,W 7,
1,Wed Oct 28 2015,10:00p,,Box Score,@,Sacramento Kings,W,,111,104,1,0,W 1,
2,Thu Oct 29 2015,10:30p,,Box Score,,Dallas Mavericks,W,,104,88,2,0,W 2,
3,Sat Oct 31 2015,10:30p,,Box Score,,Sacramento Kings,W,,114,109,3,0,W 3,
4,Mon Nov 2 2015,10:30p,,Box Score,,Phoenix Suns,W,,102,96,4,0,W 4,
5,Wed Nov 4 2015,10:30p,,Box Score,@,Golden State Warriors,L,,108,112,4,1,L 1,
6,Sat Nov 7 2015,10:30p,,Box Score,,Houston Rockets,L,,105,109,4,2,L 2,
7,Mon Nov 9 2015,10:30p,,Box Score,,Memphis Grizzlies,W,,94,92,5,2,W 1,
8,Wed Nov 11 2015,8:00p,,Box Score,@,Dallas Mavericks,L,,108,118,5,3,L 1,
9,Thu Nov 12 2015,10:30p,,Box Score,@,Phoenix Suns,L,,104,118,5,4,L 2,
10,Sat Nov 14 2015,3:30p,,Box Score,,Detroit Pistons,W,,101,96,6,4,W 1,
11,Thu Nov 19 2015,10:30p,,Box Score,,Golden State Warriors,L,,117,124,6,5,L 1,
12,Fri Nov 20 2015,10:00p,,Box Score,@,Portland Trail Blazers,L,,91,102,6,6,L 2,
13,Sun Nov 22 2015,3:30p,,Box Score,,Toronto Raptors,L,,80,91,6,7,L 3,
14,Tue Nov 24 2015,9:00p,,Box Score,@,Denver Nuggets,W,,111,94,7,7,W 1,
15,Wed Nov 25 2015,10:30p,,Box Score,,Utah Jazz,L,,91,102,7,8,L 1,
16,Fri Nov 27 2015,10:30p,,Box Score,,New Orleans Pelicans,W,,111,90,8,8,W 1,
17,Sun Nov 29 2015,3:30p,,Box Score,,Minnesota Timberwolves,W,,107,99,9,8,W 2,
18,Mon Nov 30 2015,10:30p,,Box Score,,Portland Trail Blazers,W,,102,87,10,8,W 3,
19,Wed Dec 2 2015,10:30p,,Box Score,,Indiana Pacers,L,,91,103,10,9,L 1,
20,Sat Dec 5 2015,10:30p,,Box Score,,Orlando Magic,W,,103,101,11,9,W 1,
21,Mon Dec 7 2015,8:00p,,Box Score,@,Minnesota Timberwolves,W,,110,106,12,9,W 2,
22,Wed Dec 9 2015,8:00p,,Box Score,@,Milwaukee Bucks,W,,109,95,13,9,W 3,
23,Thu Dec 10 2015,8:00p,,Box Score,@,Chicago Bulls,L,,80,83,13,10,L 1,
24,Sat Dec 12 2015,5:00p,,Box Score,@,Brooklyn Nets,W,,105,100,14,10,W 1,
25,Mon Dec 14 2015,7:30p,,Box Score,@,Detroit Pistons,W,OT,105,103,15,10,W 2,
26,Wed Dec 16 2015,10:30p,,Box Score,,Milwaukee Bucks,W,,103,90,16,10,W 3,
27,Fri Dec 18 2015,8:00p,,Box Score,@,San Antonio Spurs,L,,107,115,16,11,L 1,
28,Sat Dec 19 2015,8:00p,,Box Score,@,Houston Rockets,L,,97,107,16,12,L 2,
29,Mon Dec 21 2015,10:30p,,Box Score,,Oklahoma City Thunder,L,,99,100,16,13,L 3,
30,Fri Dec 25 2015,10:30p,,Box Score,@,Los Angeles Lakers,W,,94,84,17,13,W 1,
31,Sat Dec 26 2015,9:00p,,Box Score,@,Utah Jazz,W,,109,104,18,13,W 2,
32,Mon Dec 28 2015,7:00p,,Box Score,@,Washington Wizards,W,,108,91,19,13,W 3,
33,Wed Dec 30 2015,7:00p,,Box Score,@,Charlotte Hornets,W,,122,117,20,13,W 4,
34,Thu Dec 31 2015,8:00p,,Box Score,@,New Orleans Pelicans,W,,95,89,21,13,W 5,
35,Sat Jan 2 2016,10:30p,,Box Score,,Philadelphia 76ers,W,,130,99,22,13,W 6,
36,Wed Jan 6 2016,10:00p,,Box Score,@,Portland Trail Blazers,W,,109,98,23,13,W 7,
37,Sat Jan 9 2016,3:30p,,Box Score,,Charlotte Hornets,W,,97,83,24,13,W 8,
38,Sun Jan 10 2016,3:30p,,Box Score,,New Orleans Pelicans,W,OT,114,111,25,13,W 9,
39,Wed Jan 13 2016,10:30p,,Box Score,,Miami Heat,W,,104,90,26,13,W 10,
40,Sat Jan 16 2016,10:30p,,Box Score,,Sacramento Kings,L,,103,110,26,14,L 1,
41,Mon Jan 18 2016,10:30p,,Box Score,,Houston Rockets,W,OT,140,132,27,14,W 1,
42,Thu Jan 21 2016,8:00p,,Box Score,@,Cleveland Cavaliers,L,,102,115,27,15,L 1,
43,Fri Jan 22 2016,7:30p,,Box Score,@,New York Knicks,W,,116,88,28,15,W 1,
44,Sun Jan 24 2016,6:00p,,Box Score,@,Toronto Raptors,L,,94,112,28,16,L 1,
45,Tue Jan 26 2016,7:00p,,Box Score,@,Indiana Pacers,W,,91,89,29,16,W 1,
46,Wed Jan 27 2016,8:00p,,Box Score,@,Atlanta Hawks,W,,85,83,30,16,W 2,
47,Fri Jan 29 2016,10:30p,,Box Score,,Los Angeles Lakers,W,,105,93,31,16,W 3,
48,Sun Jan 31 2016,3:30p,,Box Score,,Chicago Bulls,W,,120,93,32,16,W 4,
49,Wed Feb 3 2016,10:30p,,Box Score,,Minnesota Timberwolves,L,,102,108,32,17,L 1,
50,Fri Feb 5 2016,7:00p,,Box Score,@,Orlando Magic,W,,107,93,33,17,W 1,
51,Sun Feb 7 2016,2:00p,,Box Score,@,Miami Heat,W,,100,93,34,17,W 2,
52,Mon Feb 8 2016,7:00p,,Box Score,@,Philadelphia 76ers,W,OT,98,92,35,17,W 3,
53,Wed Feb 10 2016,7:30p,,Box Score,@,Boston Celtics,L,OT,134,139,35,18,L 1,
54,Thu Feb 18 2016,10:30p,,Box Score,,San Antonio Spurs,W,,105,86,36,18,W 1,
55,Sat Feb 20 2016,8:30p,,Box Score,,Golden State Warriors,L,,112,115,36,19,L 1,
56,Mon Feb 22 2016,10:30p,,Box Score,,Phoenix Suns,W,,124,84,37,19,W 1,
57,Wed Feb 24 2016,10:30p,,Box Score,,Denver Nuggets,L,,81,87,37,20,L 1,
58,Fri Feb 26 2016,10:00p,,Box Score,@,Sacramento Kings,W,,117,107,38,20,W 1,
59,Mon Feb 29 2016,10:30p,,Box Score,,Brooklyn Nets,W,,105,95,39,20,W 2,
60,Wed Mar 2 2016,10:30p,,Box Score,,Oklahoma City Thunder,W,,103,98,40,20,W 3,
61,Sat Mar 5 2016,10:30p,,Box Score,,Atlanta Hawks,L,,97,107,40,21,L 1,
62,Mon Mar 7 2016,8:30p,,Box Score,@,Dallas Mavericks,W,,109,90,41,21,W 1,
63,Wed Mar 9 2016,9:30p,,Box Score,@,Oklahoma City Thunder,L,,108,120,41,22,L 1,
64,Fri Mar 11 2016,10:30p,,Box Score,,New York Knicks,W,,101,94,42,22,W 1,
65,Sun Mar 13 2016,3:30p,,Box Score,,Cleveland Cavaliers,L,,90,114,42,23,L 1,
66,Tue Mar 15 2016,8:30p,,Box Score,@,San Antonio Spurs,L,,87,108,42,24,L 2,
67,Wed Mar 16 2016,9:30p,,Box Score,@,Houston Rockets,W,,122,106,43,24,W 1,
68,Sat Mar 19 2016,8:00p,,Box Score,@,Memphis Grizzlies,L,,102,113,43,25,L 1,
69,Sun Mar 20 2016,6:00p,,Box Score,@,New Orleans Pelicans,L,,105,109,43,26,L 2,
70,Wed Mar 23 2016,10:30p,,Box Score,@,Golden State Warriors,L,,98,114,43,27,L 3,
71,Thu Mar 24 2016,10:30p,,Box Score,,Portland Trail Blazers,W,,96,94,44,27,W 1,
72,Sun Mar 27 2016,3:30p,,Box Score,,Denver Nuggets,W,,105,90,45,27,W 2,
73,Mon Mar 28 2016,10:30p,,Box Score,,Boston Celtics,W,,114,90,46,27,W 3,
74,Wed Mar 30 2016,8:00p,,Box Score,@,Minnesota Timberwolves,W,,99,79,47,27,W 4,
75,Thu Mar 31 2016,9:30p,,Box Score,@,Oklahoma City Thunder,L,,117,119,47,28,L 1,
76,Sun Apr 3 2016,3:30p,,Box Score,,Washington Wizards,W,,114,109,48,28,W 1,
77,Tue Apr 5 2016,10:30p,,Box Score,,Los Angeles Lakers,W,,103,81,49,28,W 2,
78,Wed Apr 6 2016,10:30p,,Box Score,@,Los Angeles Lakers,W,,91,81,50,28,W 3,
79,Fri Apr 8 2016,9:00p,,Box Score,@,Utah Jazz,W,OT,102,99,51,28,W 4,
80,Sun Apr 10 2016,3:30p,,Box Score,,Dallas Mavericks,W,,98,91,52,28,W 5,
81,Tue Apr 12 2016,10:30p,,Box Score,,Memphis Grizzlies,W,,110,84,53,28,W 6,
82,Wed Apr 13 2016,10:30p,,Box Score,@,Phoenix Suns,L,,105,114,53,29,L 1,
1,Thu Oct 30 2014,10:30p,,Box Score,,Oklahoma City Thunder,W,,93,90,1,0,W 1,
2,Fri Oct 31 2014,10:30p,,Box Score,@,Los Angeles Lakers,W,,118,111,2,0,W 2,
3,Sun Nov 2 2014,3:30p,,Box Score,,Sacramento Kings,L,,92,98,2,1,L 1,
4,Mon Nov 3 2014,10:30p,,Box Score,,Utah Jazz,W,,107,101,3,1,W 1,
5,Wed Nov 5 2014,10:30p,,Box Score,@,Golden State Warriors,L,,104,121,3,2,L 1,
6,Sat Nov 8 2014,3:30p,,Box Score,,Portland Trail Blazers,W,,106,102,4,2,W 1,
7,Mon Nov 10 2014,10:30p,,Box Score,,San Antonio Spurs,L,,85,89,4,3,L 1,
8,Sat Nov 15 2014,10:30p,,Box Score,,Phoenix Suns,W,,120,107,5,3,W 1,
9,Mon Nov 17 2014,10:30p,,Box Score,,Chicago Bulls,L,,89,105,5,4,L 1,
10,Wed Nov 19 2014,7:00p,,Box Score,@,Orlando Magic,W,,114,90,6,4,W 1,
11,Thu Nov 20 2014,8:00p,,Box Score,@,Miami Heat,W,,110,93,7,4,W 2,
12,Sun Nov 23 2014,6:00p,,Box Score,@,Memphis Grizzlies,L,,91,107,7,5,L 1,
13,Mon Nov 24 2014,7:00p,,Box Score,@,Charlotte Hornets,W,,113,92,8,5,W 1,
14,Wed Nov 26 2014,7:30p,,Box Score,@,Detroit Pistons,W,,104,98,9,5,W 2,
15,Fri Nov 28 2014,8:00p,,Box Score,@,Houston Rockets,W,,102,85,10,5,W 3,
16,Sat Nov 29 2014,9:00p,,Box Score,@,Utah Jazz,W,,112,96,11,5,W 4,
17,Mon Dec 1 2014,10:30p,,Box Score,,Minnesota Timberwolves,W,,127,101,12,5,W 5,
18,Wed Dec 3 2014,10:30p,,Box Score,,Orlando Magic,W,,114,86,13,5,W 6,
19,Sat Dec 6 2014,10:30p,,Box Score,,New Orleans Pelicans,W,,120,100,14,5,W 7,
20,Mon Dec 8 2014,10:30p,,Box Score,,Phoenix Suns,W,OT,121,120,15,5,W 8,
21,Wed Dec 10 2014,7:00p,,Box Score,@,Indiana Pacers,W,,103,96,16,5,W 9,
22,Fri Dec 12 2014,7:00p,,Box Score,@,Washington Wizards,L,,96,104,16,6,L 1,
23,Sat Dec 13 2014,7:30p,,Box Score,@,Milwaukee Bucks,L,,106,111,16,7,L 2,
24,Mon Dec 15 2014,10:30p,,Box Score,,Detroit Pistons,W,,113,91,17,7,W 1,
25,Wed Dec 17 2014,10:30p,,Box Score,,Indiana Pacers,W,,102,100,18,7,W 2,
26,Fri Dec 19 2014,9:00p,,Box Score,@,Denver Nuggets,L,,106,109,18,8,L 1,
27,Sat Dec 20 2014,10:30p,,Box Score,,Milwaukee Bucks,W,,106,102,19,8,W 1,
28,Mon Dec 22 2014,8:30p,,Box Score,@,San Antonio Spurs,L,,118,125,19,9,L 1,
29,Tue Dec 23 2014,7:30p,,Box Score,@,Atlanta Hawks,L,,104,107,19,10,L 2,
30,Thu Dec 25 2014,10:30p,,Box Score,,Golden State Warriors,W,,100,86,20,10,W 1,
31,Sat Dec 27 2014,3:30p,,Box Score,,Toronto Raptors,L,,98,110,20,11,L 1,
32,Mon Dec 29 2014,10:30p,,Box Score,,Utah Jazz,W,,101,97,21,11,W 1,
33,Wed Dec 31 2014,6:00p,,Box Score,,New York Knicks,W,,99,78,22,11,W 2,
34,Sat Jan 3 2015,10:30p,,Box Score,,Philadelphia 76ers,W,,127,91,23,11,W 3,
35,Mon Jan 5 2015,10:30p,,Box Score,,Atlanta Hawks,L,,98,107,23,12,L 1,
36,Wed Jan 7 2015,10:30p,,Box Score,,Los Angeles Lakers,W,,114,89,24,12,W 1,
37,Sat Jan 10 2015,3:30p,,Box Score,,Dallas Mavericks,W,,120,100,25,12,W 2,
38,Sun Jan 11 2015,3:30p,,Box Score,,Miami Heat,L,,90,104,25,13,L 1,
39,Wed Jan 14 2015,10:30p,,Box Score,@,Portland Trail Blazers,W,,100,94,26,13,W 1,
40,Fri Jan 16 2015,10:30p,,Box Score,,Cleveland Cavaliers,L,,121,126,26,14,L 1,
41,Sat Jan 17 2015,10:00p,,Box Score,@,Sacramento Kings,W,,117,108,27,14,W 1,
42,Mon Jan 19 2015,3:30p,,Box Score,,Boston Celtics,W,,102,93,28,14,W 2,
43,Thu Jan 22 2015,10:30p,,Box Score,,Brooklyn Nets,W,,123,84,29,14,W 3,
44,Sun Jan 25 2015,6:00p,,Box Score,@,Phoenix Suns,W,,120,100,30,14,W 4,
45,Mon Jan 26 2015,10:30p,,Box Score,,Denver Nuggets,W,,102,98,31,14,W 5,
46,Wed Jan 28 2015,9:00p,,Box Score,@,Utah Jazz,W,,94,89,32,14,W 6,
47,Fri Jan 30 2015,8:00p,,Box Score,@,New Orleans Pelicans,L,,103,108,32,15,L 1,
48,Sat Jan 31 2015,9:00p,,Box Score,@,San Antonio Spurs,W,,105,85,33,15,W 1,
49,Mon Feb 2 2015,7:30p,,Box Score,@,Brooklyn Nets,L,,100,102,33,16,L 1,
50,Thu Feb 5 2015,8:00p,,Box Score,@,Cleveland Cavaliers,L,,94,105,33,17,L 2,
51,Fri Feb 6 2015,7:00p,,Box Score,@,Toronto Raptors,L,,107,123,33,18,L 3,
52,Sun Feb 8 2015,1:00p,,Box Score,@,Oklahoma City Thunder,L,,108,131,33,19,L 4,
53,Mon Feb 9 2015,8:30p,,Box Score,@,Dallas Mavericks,W,,115,98,34,19,W 1,
54,Wed Feb 11 2015,10:30p,,Box Score,,Houston Rockets,W,,110,95,35,19,W 2,
55,Thu Feb 19 2015,10:30p,,Box Score,,San Antonio Spurs,W,,119,115,36,19,W 3,
56,Sat Feb 21 2015,10:00p,,Box Score,,Sacramento Kings,W,,126,99,37,19,W 4,
57,Mon Feb 23 2015,10:30p,,Box Score,,Memphis Grizzlies,L,,87,90,37,20,L 1,
58,Wed Feb 25 2015,8:00p,ESPN,Box Score,@,Houston Rockets,L,,105,110,37,21,L 2,
59,Fri Feb 27 2015,8:00p,,Box Score,@,Memphis Grizzlies,W,,97,79,38,21,W 1,
60,Sun Mar 1 2015,1:00p,ABC,Box Score,@,Chicago Bulls,W,,96,86,39,21,W 2,
61,Mon Mar 2 2015,8:00p,,Box Score,@,Minnesota Timberwolves,W,,110,105,40,21,W 3,
62,Wed Mar 4 2015,10:30p,ESPN,Box Score,,Portland Trail Blazers,L,OT,93,98,40,22,L 1,
63,Sun Mar 8 2015,3:30p,ABC,Box Score,@,Golden State Warriors,L,,98,106,40,23,L 2,
64,Mon Mar 9 2015,10:30p,,Box Score,,Minnesota Timberwolves,W,,89,76,41,23,W 1,
65,Wed Mar 11 2015,8:00p,ESPN,Box Score,@,Oklahoma City Thunder,W,,120,108,42,23,W 2,
66,Fri Mar 13 2015,8:30p,NBATV,Box Score,@,Dallas Mavericks,L,,99,129,42,24,L 1,
67,Sun Mar 15 2015,3:30p,ABC,Box Score,,Houston Rockets,L,,98,100,42,25,L 2,
68,Tue Mar 17 2015,10:30p,,Box Score,,Charlotte Hornets,W,,99,92,43,25,W 1,
69,Wed Mar 18 2015,10:00p,,Box Score,@,Sacramento Kings,W,,116,105,44,25,W 2,
70,Fri Mar 20 2015,10:30p,,Box Score,,Washington Wizards,W,,113,99,45,25,W 3,
71,Sun Mar 22 2015,3:30p,,Box Score,,New Orleans Pelicans,W,,107,100,46,25,W 4,
72,Wed Mar 25 2015,7:00p,ESPN,Box Score,@,New York Knicks,W,,111,80,47,25,W 5,
73,Fri Mar 27 2015,7:00p,,Box Score,@,Philadelphia 76ers,W,,119,98,48,25,W 6,
74,Sun Mar 29 2015,6:00p,,Box Score,@,Boston Celtics,W,,119,106,49,25,W 7,
75,Tue Mar 31 2015,10:30p,TNT,Box Score,,Golden State Warriors,L,,106,110,49,26,L 1,
76,Wed Apr 1 2015,10:00p,NBA TV,Box Score,@,Portland Trail Blazers,W,,126,122,50,26,W 1,
77,Sat Apr 4 2015,9:00p,,Box Score,@,Denver Nuggets,W,,107,92,51,26,W 2,
78,Sun Apr 5 2015,9:30p,NBA TV,Box Score,@,Los Angeles Lakers,W,,106,78,52,26,W 3,
79,Tue Apr 7 2015,10:30p,TNT,Box Score,,Los Angeles Lakers,W,,105,100,53,26,W 4,
80,Sat Apr 11 2015,10:00p,NBA TV,Box Score,,Memphis Grizzlies,W,,94,86,54,26,W 5,
81,Mon Apr 13 2015,10:30p,,Box Score,,Denver Nuggets,W,,110,103,55,26,W 6,
82,Tue Apr 14 2015,10:30p,TNT,Box Score,@,Phoenix Suns,W,,112,101,56,26,W 7,
1,Tue Oct 29 2013,10:30p,,Box Score,@,Los Angeles Lakers,L,,103,116,0,1,L 1,
2,Thu Oct 31 2013,10:30p,,Box Score,,Golden State Warriors,W,,126,115,1,1,W 1,
3,Fri Nov 1 2013,10:00p,,Box Score,@,Sacramento Kings,W,,110,101,2,1,W 2,
4,Mon Nov 4 2013,10:30p,,Box Score,,Houston Rockets,W,,137,118,3,1,W 3,
5,Wed Nov 6 2013,7:00p,,Box Score,@,Orlando Magic,L,,90,98,3,2,L 1,
6,Thu Nov 7 2013,7:00p,,Box Score,@,Miami Heat,L,,97,102,3,3,L 2,
7,Sat Nov 9 2013,8:00p,,Box Score,@,Houston Rockets,W,,107,94,4,3,W 1,
8,Mon Nov 11 2013,10:30p,,Box Score,,Minnesota Timberwolves,W,,109,107,5,3,W 2,
9,Wed Nov 13 2013,10:30p,,Box Score,,Oklahoma City Thunder,W,,111,103,6,3,W 3,
10,Sat Nov 16 2013,10:30p,,Box Score,,Brooklyn Nets,W,,110,103,7,3,W 4,
11,Mon Nov 18 2013,10:30p,,Box Score,,Memphis Grizzlies,L,,102,106,7,4,L 1,
12,Wed Nov 20 2013,8:00p,,Box Score,@,Minnesota Timberwolves,W,,102,98,8,4,W 1,
13,Thu Nov 21 2013,8:00p,,Box Score,@,Oklahoma City Thunder,L,,91,105,8,5,L 1,
14,Sat Nov 23 2013,3:30p,,Box Score,,Sacramento Kings,W,,103,102,9,5,W 1,
15,Sun Nov 24 2013,3:30p,,Box Score,,Chicago Bulls,W,,121,82,10,5,W 2,
16,Wed Nov 27 2013,10:30p,,Box Score,,New York Knicks,W,,93,80,11,5,W 3,
17,Fri Nov 29 2013,10:00p,,Box Score,@,Sacramento Kings,W,OT,104,98,12,5,W 4,
18,Sun Dec 1 2013,3:30p,,Box Score,,Indiana Pacers,L,,100,105,12,6,L 1,
19,Wed Dec 4 2013,7:30p,,Box Score,@,Atlanta Hawks,L,,97,107,12,7,L 2,
20,Thu Dec 5 2013,8:00p,,Box Score,@,Memphis Grizzlies,W,,101,81,13,7,W 1,
21,Sat Dec 7 2013,7:30p,,Box Score,@,Cleveland Cavaliers,L,,82,88,13,8,L 1,
22,Mon Dec 9 2013,7:00p,,Box Score,@,Philadelphia 76ers,W,,94,83,14,8,W 1,
23,Wed Dec 11 2013,7:30p,,Box Score,@,Boston Celtics,W,,96,88,15,8,W 2,
24,Thu Dec 12 2013,8:00p,,Box Score,@,Brooklyn Nets,L,,93,102,15,9,L 1,
25,Sat Dec 14 2013,7:00p,,Box Score,@,Washington Wizards,W,,113,97,16,9,W 1,
26,Mon Dec 16 2013,10:30p,,Box Score,,San Antonio Spurs,W,,115,92,17,9,W 2,
27,Wed Dec 18 2013,10:30p,,Box Score,,New Orleans Pelicans,W,,108,95,18,9,W 3,
28,Sat Dec 21 2013,10:30p,,Box Score,,Denver Nuggets,W,,112,91,19,9,W 4,
29,Sun Dec 22 2013,9:30p,,Box Score,,Minnesota Timberwolves,W,OT,120,116,20,9,W 5,
30,Wed Dec 25 2013,10:30p,,Box Score,@,Golden State Warriors,L,,103,105,20,10,L 1,
31,Thu Dec 26 2013,10:30p,,Box Score,@,Portland Trail Blazers,L,OT,112,116,20,11,L 2,
32,Sat Dec 28 2013,10:30p,,Box Score,,Utah Jazz,W,,98,90,21,11,W 1,
33,Mon Dec 30 2013,10:30p,,Box Score,,Phoenix Suns,L,,88,107,21,12,L 1,
34,Wed Jan 1 2014,9:30p,,Box Score,,Charlotte Bobcats,W,,112,85,22,12,W 1,
35,Fri Jan 3 2014,8:30p,,Box Score,@,Dallas Mavericks,W,,119,112,23,12,W 2,
36,Sat Jan 4 2014,8:30p,,Box Score,@,San Antonio Spurs,L,,92,116,23,13,L 1,
37,Mon Jan 6 2014,10:30p,,Box Score,,Orlando Magic,W,,101,81,24,13,W 1,
38,Wed Jan 8 2014,10:30p,,Box Score,,Boston Celtics,W,,111,105,25,13,W 2,
39,Fri Jan 10 2014,10:30p,,Box Score,,Los Angeles Lakers,W,,123,87,26,13,W 3,
40,Wed Jan 15 2014,10:30p,,Box Score,,Dallas Mavericks,W,,129,127,27,13,W 4,
41,Fri Jan 17 2014,7:00p,,Box Score,@,New York Knicks,W,,109,95,28,13,W 5,
42,Sat Jan 18 2014,7:00p,,Box Score,@,Indiana Pacers,L,,92,106,28,14,L 1,
43,Mon Jan 20 2014,1:00p,,Box Score,@,Detroit Pistons,W,,112,103,29,14,W 1,
44,Wed Jan 22 2014,7:00p,,Box Score,@,Charlotte Bobcats,L,,91,95,29,15,L 1,
45,Fri Jan 24 2014,8:00p,,Box Score,@,Chicago Bulls,W,,112,95,30,15,W 1,
46,Sat Jan 25 2014,7:00p,,Box Score,@,Toronto Raptors,W,,126,118,31,15,W 2,
47,Mon Jan 27 2014,8:00p,,Box Score,@,Milwaukee Bucks,W,,114,86,32,15,W 3,
48,Wed Jan 29 2014,10:30p,,Box Score,,Washington Wizards,W,,110,103,33,15,W 4,
49,Thu Jan 30 2014,10:30p,,Box Score,@,Golden State Warriors,L,,92,111,33,16,L 1,
50,Sat Feb 1 2014,10:30p,,Box Score,,Utah Jazz,W,,102,87,34,16,W 1,
51,Mon Feb 3 2014,9:00p,,Box Score,@,Denver Nuggets,L,,115,116,34,17,L 1,
52,Wed Feb 5 2014,10:30p,,Box Score,,Miami Heat,L,,112,116,34,18,L 2,
53,Fri Feb 7 2014,10:30p,,Box Score,,Toronto Raptors,W,,118,105,35,18,W 1,
54,Sun Feb 9 2014,9:30p,,Box Score,,Philadelphia 76ers,W,,123,78,36,18,W 2,
55,Wed Feb 12 2014,10:30p,,Box Score,,Portland Trail Blazers,W,,122,117,37,18,W 3,
56,Tue Feb 18 2014,10:30p,,Box Score,,San Antonio Spurs,L,,103,113,37,19,L 1,
57,Fri Feb 21 2014,8:00p,,Box Score,@,Memphis Grizzlies,L,,96,102,37,20,L 2,
58,Sun Feb 23 2014,1:00p,,Box Score,@,Oklahoma City Thunder,W,,125,117,38,20,W 1,
59,Mon Feb 24 2014,8:00p,,Box Score,@,New Orleans Pelicans,W,,123,110,39,20,W 2,
60,Wed Feb 26 2014,10:30p,,Box Score,,Houston Rockets,W,,101,93,40,20,W 3,
61,Sat Mar 1 2014,10:30p,,Box Score,,New Orleans Pelicans,W,,108,76,41,20,W 4,
62,Tue Mar 4 2014,9:00p,,Box Score,@,Phoenix Suns,W,,104,96,42,20,W 5,
63,Thu Mar 6 2014,10:30p,,Box Score,@,Los Angeles Lakers,W,,142,94,43,20,W 6,
64,Sat Mar 8 2014,10:30p,,Box Score,,Atlanta Hawks,W,,109,108,44,20,W 7,
65,Mon Mar 10 2014,10:30p,,Box Score,,Phoenix Suns,W,,112,105,45,20,W 8,
66,Wed Mar 12 2014,10:30p,,Box Score,,Golden State Warriors,W,,111,98,46,20,W 9,
67,Fri Mar 14 2014,9:00p,,Box Score,@,Utah Jazz,W,,96,87,47,20,W 10,
68,Sun Mar 16 2014,9:30p,,Box Score,,Cleveland Cavaliers,W,,102,80,48,20,W 11,
69,Mon Mar 17 2014,10:30p,,Box Score,@,Denver Nuggets,L,,100,110,48,21,L 1,
70,Sat Mar 22 2014,10:30p,,Box Score,,Detroit Pistons,W,,112,103,49,21,W 1,
71,Mon Mar 24 2014,10:30p,,Box Score,,Milwaukee Bucks,W,,106,98,50,21,W 2,
72,Wed Mar 26 2014,8:00p,,Box Score,@,New Orleans Pelicans,L,,96,98,50,22,L 1,
73,Thu Mar 27 2014,8:30p,,Box Score,@,Dallas Mavericks,W,,109,103,51,22,W 1,
74,Sat Mar 29 2014,8:00p,,Box Score,@,Houston Rockets,W,,118,107,52,22,W 2,
75,Mon Mar 31 2014,8:00p,,Box Score,@,Minnesota Timberwolves,W,,114,104,53,22,W 3,
76,Wed Apr 2 2014,10:00p,,Box Score,@,Phoenix Suns,W,,112,108,54,22,W 4,
77,Thu Apr 3 2014,10:30p,,Box Score,,Dallas Mavericks,L,,107,113,54,23,L 1,
78,Sun Apr 6 2014,3:30p,,Box Score,,Los Angeles Lakers,W,,120,97,55,23,W 1,
79,Wed Apr 9 2014,10:30p,,Box Score,,Oklahoma City Thunder,L,,101,107,55,24,L 1,
