,date,reading,warning
130,2019-04-10 20:01:00,64, Moderate
131,2019-04-10 21:00:00,64, Moderate
132,2019-04-10 22:00:00,104, Unhealthy for Sensitive Groups
133,2019-04-10 23:01:00,154, Unhealthy
134,2019-04-11 00:01:00,152, Unhealthy
135,2019-04-11 01:01:00,130, Unhealthy for Sensitive Groups
136,2019-04-11 02:00:00,122, Unhealthy for Sensitive Groups
137,2019-04-11 03:01:00,115, Unhealthy for Sensitive Groups
138,2019-04-11 04:01:00,106, Unhealthy for Sensitive Groups
139,2019-04-11 05:01:00,90, Moderate
140,2019-04-11 06:01:00,78, Moderate
141,2019-04-11 07:01:00,75, Moderate
142,2019-04-11 08:00:00,80, Moderate
143,2019-04-11 09:01:00,78, Moderate
144,2019-04-11 10:01:00,80, Moderate
145,2019-04-11 11:01:00,71, Moderate
146,2019-04-11 12:01:00,64, Moderate
147,2019-04-11 13:01:00,56, Moderate
148,2019-04-11 14:00:00,47, Good
149,2019-04-11 15:01:00,47, Good
150,2019-04-11 16:01:00,40, Good
151,2019-04-11 17:01:00,38, Good
152,2019-04-11 18:01:00,40, Good
153,2019-04-11 19:01:00,52, Moderate
154,2019-04-11 20:01:00,55, Moderate
155,2019-04-11 21:00:00,55, Moderate
156,2019-04-11 22:01:00,55, Moderate
157,2019-04-11 23:01:00,109, Unhealthy for Sensitive Groups
158,2019-04-12 00:01:00,113, Unhealthy for Sensitive Groups
159,2019-04-12 01:01:00,126, Unhealthy for Sensitive Groups
160,2019-04-12 02:00:00,120, Unhealthy for Sensitive Groups
161,2019-04-12 03:01:00,120, Unhealthy for Sensitive Groups
162,2019-04-12 04:01:00,93, Moderate
163,2019-04-12 05:01:00,93, Moderate
164,2019-04-12 06:01:00,91, Moderate
165,2019-04-12 07:01:00,91, Moderate
166,2019-04-12 08:01:00,89, Moderate
167,2019-04-12 09:01:00,96, Moderate
168,2019-04-12 10:01:00,89, Moderate
169,2019-04-12 11:01:00,83, Moderate
170,2019-04-12 12:00:00,83, Moderate
171,2019-04-12 13:01:00,75, Moderate
172,2019-04-12 14:00:00,75, Moderate
173,2019-04-12 15:01:00,129, Unhealthy for Sensitive Groups
174,2019-04-12 16:01:00,165, Unhealthy
175,2019-04-12 17:01:00,159, Unhealthy
176,2019-04-12 18:01:00,103, Unhealthy for Sensitive Groups
177,2019-04-12 19:01:00,103, Unhealthy for Sensitive Groups
178,2019-04-12 20:01:00,90, Moderate
179,2019-04-12 21:01:00,84, Moderate
180,2019-04-12 22:01:00,84, Moderate
181,2019-04-12 23:00:00,100, Moderate
182,2019-04-13 00:01:00,74, Moderate
183,2019-04-13 01:00:00,77, Moderate
184,2019-04-13 02:00:00,86, Moderate
185,2019-04-13 03:01:00,94, Moderate
186,2019-04-13 04:01:00,92, Moderate
187,2019-04-13 05:01:00,89, Moderate
188,2019-04-13 06:01:00,89, Moderate
189,2019-04-13 07:01:00,81, Moderate
190,2019-04-13 08:01:00,81, Moderate
191,2019-04-13 09:01:00,82, Moderate
192,2019-04-13 10:01:00,86, Moderate
