G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
20,240.0,40.0,88.0,0.466,11.5,22.5,0.5,19.0,25.0,0.833,13.0,30.0,40.5,24.0,11.0,8.0,15.0,23.0,107.0,0.56,0.5529999999999999,0.481,0.275,0.382,30.6,66.7,50.6,54.0,8.2,7.2,14.8,100.0,111.6,105.35,,106.0,101.5,12.0,8.0
21,240.0,41.0,87.5,0.4585,10.5,23.5,0.5545,19.0,25.0,0.862,14.0,29.0,42.0,24.0,11.0,8.0,15.0,22.0,105.0,0.57,0.546,0.468,0.259,0.4,29.4,69.2,51.1,54.3,8.1,8.2,17.0,100.0,106.7,103.15,,105.0,99.0,13.0,8.0
22,240.0,41.0,85.0,0.493,13.5,25.0,0.556,19.0,25.0,0.778,12.0,31.0,40.5,25.0,11.0,9.0,16.0,23.0,107.0,0.569,0.5379999999999999,0.446,0.253,0.393,28.6,67.3,51.9,56.4,8.3,9.1,16.3,100.0,107.7,106.4,,106.5,102.0,13.5,8.5
23,240.0,40.0,87.0,0.457,11.5,25.0,0.5295,19.0,24.0,0.821,13.0,30.0,41.0,23.5,11.0,11.0,16.0,22.0,104.0,0.5329999999999999,0.5429999999999999,0.477,0.266,0.345,30.8,66.7,50.6,51.3,8.2,11.6,16.7,100.0,108.6,106.55,,106.5,102.0,14.5,8.5
24,240.0,40.0,88.0,0.4555,10.0,21.0,0.5,18.5,25.0,0.8285,14.0,28.5,39.5,23.5,11.0,9.0,13.0,22.5,103.0,0.536,0.534,0.464,0.255,0.387,30.6,66.7,50.6,57.1,8.4,8.5,15.8,100.0,108.9,104.80000000000001,,103.5,101.5,15.5,8.5
25,240.0,41.0,87.0,0.473,9.5,22.0,0.5,17.5,24.5,0.8220000000000001,14.0,30.0,42.0,22.0,11.0,9.5,15.0,21.0,100.0,0.529,0.514,0.428,0.26,0.386,30.4,68.8,52.5,55.2,7.9,9.5,15.9,100.0,106.3,103.25,,102.0,99.0,16.0,9.0
26,240.0,39.0,87.0,0.452,12.0,23.0,0.5,17.0,24.0,0.822,15.0,29.5,42.0,21.5,12.0,9.0,15.5,22.0,100.0,0.5529999999999999,0.513,0.444,0.271,0.377,30.4,67.5,51.9,50.0,8.1,10.2,16.3,100.0,105.9,104.1,,102.0,102.0,16.5,9.5
27,240.0,40.0,87.0,0.45,9.5,22.0,0.5,21.0,28.5,0.8140000000000001,13.5,29.0,41.0,22.0,11.5,9.0,15.0,22.0,104.0,0.539,0.527,0.446,0.271,0.405,29.8,70.6,51.8,55.0,8.2,9.1,16.6,100.0,109.6,109.15,,104.0,104.0,17.0,10.0
28,240.0,40.0,87.0,0.439,11.0,24.0,0.5,20.0,27.0,0.841,13.0,31.5,41.0,22.0,10.0,9.5,16.0,22.5,104.0,0.529,0.521,0.443,0.28,0.416,32.1,66.7,51.2,53.6,7.4,11.1,17.2,100.0,104.5,104.15,,104.5,103.5,17.5,10.5
29,240.0,39.0,88.0,0.4595,10.0,24.5,0.5225,19.0,26.0,0.833,13.0,30.0,41.5,23.0,11.0,9.5,15.0,23.0,106.0,0.5710000000000001,0.517,0.417,0.262,0.33,29.3,70.2,51.6,48.6,9.3,8.7,14.4,100.0,105.2,104.5,,106.0,103.5,18.0,11.0
30,240.0,39.5,85.0,0.459,9.5,24.5,0.5,19.0,26.0,0.846,12.0,29.0,40.0,24.0,11.0,9.5,15.0,22.0,103.0,0.5489999999999999,0.524,0.452,0.248,0.37,25.6,66.7,51.4,51.3,9.1,8.2,16.8,100.0,105.2,106.75,,105.0,102.0,18.0,12.0
31,240.0,40.0,88.0,0.451,10.5,22.0,0.5475000000000001,17.0,24.0,0.817,15.0,31.0,43.5,23.0,13.0,9.0,15.0,23.0,100.0,0.5479999999999999,0.503,0.44,0.25,0.34700000000000003,31.3,67.6,51.5,51.4,8.7,9.0,18.2,100.0,105.0,102.6,,102.0,100.5,19.0,12.0
32,240.0,40.0,86.5,0.443,10.5,19.0,0.5379999999999999,18.0,25.0,0.8059999999999999,14.0,29.0,43.0,23.0,11.0,8.0,14.0,23.0,102.0,0.545,0.518,0.446,0.225,0.3720000000000001,33.3,71.4,52.4,54.5,8.3,10.8,15.3,100.0,106.8,107.25,,103.0,103.5,20.0,12.0
33,240.0,40.0,88.5,0.446,8.0,21.0,0.5165,19.0,24.0,0.85,16.0,29.0,40.0,22.0,12.0,8.0,14.0,24.0,102.0,0.547,0.522,0.426,0.268,0.333,33.3,65.8,50.0,51.2,7.9,9.3,17.1,100.0,105.9,107.0,,104.0,103.0,20.0,13.0
34,240.0,38.5,86.0,0.456,10.5,24.0,0.588,19.0,26.0,0.8,14.0,29.0,41.5,23.0,11.0,8.0,14.5,22.0,102.0,0.551,0.513,0.453,0.244,0.383,34.4,66.7,49.3,55.6,7.5,9.4,16.2,100.0,105.8,105.15,,102.0,101.5,21.0,13.0
35,240.0,40.0,87.0,0.435,11.0,23.0,0.5,19.0,26.0,0.871,15.0,28.0,39.0,22.5,12.0,8.5,15.0,21.0,99.0,0.5589999999999999,0.504,0.407,0.281,0.35600000000000004,30.0,65.1,49.5,54.8,7.2,8.8,16.2,100.0,102.7,107.05000000000001,,104.5,100.0,21.0,14.0
36,240.0,40.0,89.0,0.448,11.0,25.0,0.423,17.0,22.0,0.84,15.0,30.0,43.0,25.0,11.0,9.5,15.0,23.0,105.0,0.5670000000000001,0.531,0.4320000000000001,0.273,0.324,28.6,67.9,51.9,48.3,8.0,9.4,15.8,100.0,104.5,103.1,,104.5,102.0,22.0,14.0
37,240.0,39.0,87.0,0.453,10.5,22.0,0.563,19.0,24.5,0.8725,14.0,29.0,40.0,24.0,12.5,10.0,15.0,23.0,103.0,0.563,0.53,0.463,0.263,0.3720000000000001,33.3,70.8,53.3,54.2,7.8,8.8,15.6,100.0,109.1,107.1,,103.0,101.5,23.0,14.0
38,240.0,41.5,86.0,0.4565,11.0,24.0,0.583,17.5,26.5,0.818,15.0,30.0,42.5,24.0,10.0,8.0,14.0,22.0,104.0,0.55,0.53,0.444,0.243,0.381,30.0,63.6,50.6,54.5,7.4,9.8,14.6,100.0,109.4,106.45,,108.0,101.0,23.0,15.0
39,240.0,39.0,88.0,0.457,10.0,21.0,0.5,15.0,22.0,0.813,14.0,30.0,42.0,22.0,10.0,8.0,14.5,21.0,100.0,0.513,0.521,0.464,0.244,0.333,29.4,68.6,50.6,46.5,7.5,9.6,14.7,100.0,105.4,107.4,,102.0,98.5,24.0,15.0
40,240.0,42.0,89.0,0.457,12.0,24.0,0.48350000000000004,18.0,24.0,0.8290000000000001,15.0,32.0,43.0,26.0,11.0,8.0,15.0,23.0,105.0,0.565,0.527,0.467,0.247,0.316,30.4,68.4,52.8,53.8,8.8,10.3,15.9,100.0,105.5,106.6,,104.0,105.5,25.0,15.0
41,240.0,39.0,87.0,0.444,11.5,22.5,0.5,19.0,26.0,0.8394999999999999,17.0,30.0,42.0,22.0,12.0,10.0,14.0,22.0,99.0,0.5429999999999999,0.513,0.423,0.28,0.403,32.6,67.6,51.2,55.6,8.6,10.3,15.4,100.0,104.9,104.95,,101.0,100.0,25.0,16.0
42,240.0,39.0,88.5,0.4425,10.0,24.0,0.471,20.0,27.0,0.848,15.0,28.0,41.0,24.0,13.0,8.0,14.0,23.0,103.0,0.546,0.517,0.449,0.28,0.362,30.6,65.9,50.7,57.6,8.6,8.7,17.1,100.0,104.8,106.2,,104.0,99.0,26.0,16.0
43,240.0,40.5,88.0,0.45,12.0,21.5,0.524,18.5,24.0,0.8260000000000001,14.0,31.0,42.0,25.0,12.0,12.0,14.0,22.0,102.0,0.525,0.508,0.449,0.269,0.341,31.1,65.7,51.9,51.5,9.6,9.6,15.9,100.0,101.2,108.5,,103.0,100.5,26.0,17.0
44,240.0,40.0,88.0,0.461,11.0,21.5,0.5,18.0,24.0,0.8394999999999999,13.0,30.0,41.0,24.0,13.0,8.0,14.5,22.0,100.0,0.552,0.537,0.465,0.258,0.361,29.3,69.1,50.0,52.9,9.3,10.8,16.1,100.0,104.1,102.15,,105.0,99.0,26.5,17.5
45,240.0,40.0,87.0,0.461,9.5,24.0,0.5,20.0,26.0,0.8094999999999999,14.0,31.0,41.0,24.0,10.5,9.0,16.0,22.0,106.0,0.54,0.523,0.448,0.267,0.354,32.6,67.7,51.4,50.0,8.1,7.8,16.4,100.0,106.3,102.9,,107.0,99.0,27.0,18.0
46,240.0,39.0,89.0,0.45,9.5,22.0,0.5,18.0,24.0,0.8059999999999999,14.0,32.0,43.0,24.0,11.5,9.0,15.0,22.0,102.0,0.547,0.5379999999999999,0.42,0.28600000000000003,0.329,27.3,71.1,52.7,57.1,8.2,9.7,17.4,100.0,103.5,100.9,,103.0,100.0,28.0,18.0
47,240.0,41.0,88.0,0.45,11.5,25.0,0.545,19.5,25.0,0.8285,14.0,30.0,41.0,25.5,12.0,9.0,15.0,22.0,107.0,0.503,0.547,0.482,0.268,0.338,31.4,65.8,48.6,60.0,8.5,10.6,15.6,100.0,109.0,110.15,,107.0,103.0,29.0,18.0
48,240.0,39.0,87.0,0.446,10.5,23.0,0.423,20.0,29.0,0.8405,15.0,30.0,43.0,22.5,13.0,7.0,14.0,21.5,100.0,0.5379999999999999,0.513,0.42,0.289,0.384,31.0,66.7,49.5,50.0,8.0,8.3,15.1,100.0,107.3,102.15,,104.0,101.5,29.5,18.5
49,240.0,41.0,89.0,0.448,12.0,25.0,0.5,18.0,25.0,0.833,13.0,29.0,41.0,24.0,11.0,7.0,13.0,22.0,106.0,0.531,0.542,0.452,0.247,0.349,28.6,71.1,51.4,52.5,8.5,8.7,14.0,100.0,110.8,110.05,,106.0,105.0,30.0,19.0
50,240.0,41.0,86.0,0.46299999999999997,13.0,23.0,0.5,18.0,24.0,0.875,14.0,30.0,40.0,24.0,12.0,8.0,16.0,23.0,105.0,0.551,0.541,0.47,0.263,0.442,31.0,66.0,51.1,50.0,7.9,9.7,16.4,100.0,107.6,104.30000000000001,,106.0,102.0,30.0,20.0
51,240.0,40.0,90.0,0.442,12.0,23.0,0.5465,19.0,25.0,0.8425,15.0,31.0,43.0,24.0,12.0,8.0,15.0,23.0,101.5,0.508,0.5065,0.436,0.28600000000000003,0.3315,30.65,68.15,50.25,57.25,7.699999999999999,10.15,14.7,100.0,110.0,103.0,,101.5,101.5,31.5,19.5
52,240.0,40.0,87.0,0.4555,10.5,21.5,0.489,21.0,27.0,0.8365,15.0,31.0,43.0,21.5,10.0,8.0,14.0,24.0,103.0,0.55,0.5255000000000001,0.4355,0.2655,0.4315,27.85,70.6,50.8,52.7,7.8,7.6,16.25,100.0,103.6,106.2,,104.5,101.0,32.5,19.5
53,240.0,40.0,88.0,0.453,11.5,22.0,0.5379999999999999,19.0,26.0,0.8480000000000001,14.0,31.0,42.5,23.0,10.0,7.0,15.0,23.0,104.0,0.541,0.5345,0.45999999999999996,0.269,0.3955,31.75,67.1,51.650000000000006,54.9,7.75,8.55,17.25,100.0,106.65,110.4,,106.0,102.5,33.0,20.0
54,240.0,41.5,88.0,0.446,13.5,24.0,0.5379999999999999,19.0,26.0,0.81,13.0,29.0,41.0,24.0,11.0,8.0,14.0,23.0,105.5,0.5589999999999999,0.5315,0.4525,0.2585,0.4125000000000001,28.75,65.9,51.7,53.5,6.5,8.7,16.55,100.0,109.69999999999999,111.4,,105.5,107.0,33.5,20.5
55,240.0,41.0,88.0,0.45999999999999996,10.0,22.0,0.471,19.0,25.0,0.818,13.0,33.5,42.5,24.0,12.0,8.0,15.0,23.0,105.5,0.5760000000000001,0.5305,0.4585,0.249,0.3835,30.15,72.35,52.650000000000006,51.45,6.9,10.05,15.899999999999999,100.0,107.0,108.2,,106.5,104.0,34.0,21.0
56,240.0,40.0,85.0,0.45399999999999996,10.5,22.0,0.522,20.0,29.0,0.8085,14.0,29.5,40.0,22.0,12.0,10.0,15.0,24.0,103.5,0.601,0.528,0.4215,0.2515,0.445,28.0,69.9,48.8,52.25,8.75,8.1,18.1,100.0,102.94999999999999,106.2,,105.0,106.0,34.0,22.0
57,240.0,42.0,88.0,0.4585,10.5,26.0,0.5,18.5,24.5,0.845,16.0,29.5,41.0,24.0,11.0,8.0,15.5,22.5,107.5,0.5710000000000001,0.5405,0.423,0.2615,0.3895,33.849999999999994,66.30000000000001,52.95,48.55,6.8,8.8,15.25,100.0,111.95,107.2,,108.0,105.0,34.5,22.5
58,240.0,39.5,88.0,0.455,10.0,23.0,0.467,18.0,25.0,0.825,13.0,29.0,42.0,23.0,11.0,7.0,13.0,21.5,103.0,0.5579999999999999,0.5225,0.4535,0.253,0.355,28.75,66.25,51.150000000000006,54.5,7.85,7.8,14.6,100.0,108.30000000000001,109.5,,104.0,101.5,35.5,22.5
59,240.0,40.0,88.0,0.455,10.0,22.5,0.5189999999999999,20.0,28.0,0.821,14.0,33.0,42.5,23.0,11.0,9.5,14.0,22.5,104.0,0.5770000000000001,0.5345,0.453,0.262,0.4225,32.150000000000006,67.65,53.85,53.25,9.4,9.15,14.65,100.0,104.75,104.6,,105.0,101.0,36.5,22.5
60,240.0,41.0,87.0,0.456,10.0,22.0,0.545,20.5,25.0,0.862,14.0,29.5,41.0,24.5,11.0,9.0,14.0,21.0,108.0,0.5589999999999999,0.5315,0.459,0.2735,0.40049999999999997,34.599999999999994,64.1,52.15,54.85,8.3,10.45,16.25,100.0,112.15,110.4,,108.0,104.0,36.5,23.5
61,240.0,40.5,88.0,0.462,11.5,23.0,0.5,20.5,27.5,0.833,15.0,32.5,44.0,23.5,10.0,9.0,14.0,21.0,104.0,0.563,0.532,0.475,0.277,0.358,31.75,67.7,53.1,51.9,8.55,8.5,14.899999999999999,100.0,106.94999999999999,104.9,,106.5,103.0,38.0,23.0
62,240.0,40.0,87.5,0.4485,10.0,21.0,0.6,20.5,27.0,0.827,16.0,32.0,43.0,22.0,11.0,8.0,15.0,23.0,104.5,0.547,0.517,0.42650000000000005,0.2945,0.3655,32.3,71.30000000000001,52.65,55.55,7.9,9.35,16.8,100.0,108.55,103.0,,104.5,101.0,38.0,24.0
63,240.0,41.5,90.0,0.456,10.0,22.0,0.5,17.0,23.0,0.789,14.0,28.0,42.0,23.0,11.0,7.0,15.0,23.0,105.0,0.539,0.519,0.455,0.2615,0.384,28.95,62.3,50.650000000000006,54.95,8.3,8.3,15.7,100.0,108.85,107.8,,105.0,104.5,39.0,24.0
64,240.0,41.0,86.0,0.4675,10.0,22.5,0.5710000000000001,19.0,26.0,0.828,12.0,29.0,41.0,22.0,11.0,7.0,14.0,22.5,107.5,0.593,0.534,0.45799999999999996,0.2705,0.377,28.95,66.69999999999999,51.5,46.25,8.0,8.05,15.15,100.0,108.95,110.5,,109.0,108.0,39.5,24.5
65,240.0,41.0,91.0,0.469,10.0,22.0,0.5,16.0,22.0,0.833,16.0,29.0,42.0,24.0,11.0,8.0,13.0,22.0,104.0,0.578,0.541,0.4320000000000001,0.256,0.329,32.4,65.3,51.9,48.8,8.0,9.7,14.9,100.0,110.3,100.25,,105.0,104.0,39.0,26.0
66,240.0,41.0,89.0,0.4645,11.0,23.5,0.5165,19.0,26.0,0.826,14.0,30.0,41.5,23.5,11.0,7.0,14.0,23.0,104.0,0.5660000000000001,0.541,0.448,0.276,0.373,31.1,67.6,51.6,50.0,7.1,9.2,16.0,100.0,109.0,106.15,,109.0,106.0,40.0,26.0
67,240.0,41.0,88.0,0.465,11.0,23.0,0.5,17.0,23.0,0.882,14.0,29.0,42.0,23.5,10.0,7.0,14.0,21.0,104.5,0.5589999999999999,0.5285,0.4245,0.2455,0.389,36.1,68.35,52.650000000000006,49.5,7.35,8.5,17.85,100.0,108.1,104.4,,107.0,103.0,42.0,25.0
68,240.0,41.0,88.5,0.4505,11.0,22.0,0.5,18.0,25.0,0.857,15.5,30.5,43.0,21.5,12.0,8.0,14.0,21.0,103.5,0.53,0.5275000000000001,0.411,0.235,0.3615,32.95,64.3,50.3,53.8,8.55,8.75,14.8,100.0,108.2,111.4,,108.0,103.0,43.0,25.0
69,240.0,41.0,89.0,0.46299999999999997,9.0,23.0,0.5,20.5,26.0,0.833,15.0,32.0,44.0,24.0,10.0,8.0,14.0,21.0,106.0,0.542,0.523,0.4335,0.2685,0.385,33.0,68.44999999999999,53.25,50.0,7.199999999999999,7.800000000000001,16.2,100.0,108.9,110.7,,107.0,105.0,43.5,25.5
70,240.0,41.0,89.0,0.453,9.0,23.0,0.5,19.0,27.5,0.8440000000000001,14.5,29.0,41.0,22.0,11.0,6.0,15.0,22.0,102.0,0.583,0.5215000000000001,0.43250000000000005,0.2675,0.396,29.4,66.8,49.099999999999994,51.6,7.199999999999999,8.850000000000001,17.049999999999997,100.0,103.9,106.8,,105.0,105.0,44.0,26.0
71,240.0,42.0,92.0,0.4605,8.0,20.5,0.5,19.5,26.0,0.8145,17.0,27.0,41.0,23.0,10.0,9.0,14.5,23.0,102.5,0.5429999999999999,0.5145,0.444,0.2525,0.3725,35.15,67.5,53.650000000000006,50.85,8.2,8.8,15.350000000000001,100.0,105.8,106.4,,106.0,104.0,45.0,26.0
72,240.0,43.5,90.0,0.456,8.0,19.0,0.5,19.0,25.0,0.826,14.0,31.0,43.0,23.0,11.0,9.0,14.0,23.0,105.0,0.568,0.543,0.4465,0.2345,0.3765,28.5,66.05000000000001,51.650000000000006,50.849999999999994,7.75,8.15,15.3,100.0,106.65,107.0,,107.5,102.0,45.0,27.0
73,240.0,40.0,84.5,0.442,7.5,24.0,0.3875,19.0,27.0,0.8275,16.0,30.0,41.5,23.0,9.0,6.0,15.0,22.0,102.0,0.54,0.5215000000000001,0.43250000000000005,0.3145,0.37150000000000005,32.2,69.55000000000001,52.0,53.9,7.25,9.25,16.75,100.0,106.8,103.6,,103.5,106.5,47.0,26.0
74,240.0,42.0,87.0,0.488,7.0,20.5,0.483,17.0,24.5,0.813,14.0,29.0,41.0,25.0,10.0,6.0,15.0,22.0,105.0,0.555,0.546,0.4445,0.26,0.39,31.15,63.7,50.3,56.8,7.7,7.3,16.200000000000003,100.0,108.30000000000001,112.6,,106.5,108.0,47.5,26.5
75,240.0,40.0,83.0,0.47100000000000003,8.5,21.0,0.417,18.0,23.5,0.818,11.5,30.0,41.0,23.0,10.0,6.0,14.5,22.0,103.0,0.573,0.539,0.4735,0.276,0.39949999999999997,31.1,67.69999999999999,49.7,54.85,8.25,8.4,16.45,100.0,108.05,105.6,,107.5,105.0,47.5,27.5
76,240.0,41.0,87.0,0.472,8.0,21.0,0.481,18.0,27.0,0.816,15.0,32.0,41.5,23.0,10.0,6.0,16.0,22.5,103.0,0.544,0.535,0.481,0.2705,0.43400000000000005,31.35,70.05,51.25,48.1,7.85,8.45,17.85,100.0,107.2,105.2,,109.0,106.0,48.0,28.0
77,240.0,43.0,88.0,0.484,7.0,20.5,0.4145,17.0,22.0,0.815,12.0,31.0,40.0,24.0,9.5,7.0,15.0,24.0,106.0,0.5539999999999999,0.5479999999999999,0.477,0.2485,0.368,28.25,65.19999999999999,50.25,52.849999999999994,8.95,9.3,17.2,100.0,108.30000000000001,107.0,,108.0,105.0,48.0,29.0
78,240.0,40.0,88.5,0.446,8.0,23.0,0.433,19.0,26.0,0.849,14.0,29.0,40.0,24.5,9.0,5.0,13.5,22.0,102.0,0.5539999999999999,0.534,0.447,0.3145,0.361,31.55,65.85,50.9,52.6,6.65,8.0,14.45,100.0,107.15,115.1,,108.0,105.0,49.0,29.0
79,240.0,41.0,88.0,0.469,7.0,18.5,0.412,19.0,26.0,0.8195,13.5,30.0,41.0,23.5,9.0,6.0,14.5,22.0,102.0,0.5529999999999999,0.5325,0.411,0.256,0.422,34.5,67.8,51.400000000000006,51.9,7.3,9.95,16.299999999999997,100.0,110.6,105.4,,105.0,105.0,49.0,30.0
80,240.0,44.0,87.0,0.473,8.5,18.0,0.444,16.0,24.0,0.7849999999999999,11.0,31.0,42.0,25.5,9.0,6.0,14.0,22.0,105.5,0.5720000000000001,0.5575,0.4845,0.28300000000000003,0.4505,29.35,66.7,51.75,55.400000000000006,8.7,9.8,16.95,100.0,109.55,105.9,,108.5,106.5,50.0,30.0
81,240.0,41.0,86.0,0.47150000000000003,6.0,16.0,0.368,18.0,23.0,0.7905,13.0,32.0,43.0,22.0,8.0,5.0,15.0,23.0,100.5,0.573,0.5325,0.42800000000000005,0.266,0.3235,32.35,69.8,51.75,50.7,7.55,9.65,15.649999999999999,100.0,107.4,104.0,,108.0,106.0,48.0,33.0
82,240.0,42.0,87.0,0.464,8.0,19.0,0.421,18.0,25.0,0.81,13.0,30.0,42.0,24.0,9.0,5.0,14.0,21.0,108.0,0.5589999999999999,0.529,0.459,0.281,0.366,30.8,66.0,53.9,54.1,7.7,8.0,17.0,100.0,109.4,104.30000000000001,,111.0,105.0,49.0,33.0
