G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
1,240.0,39.5,86.0,0.4615,8.0,21.0,0.5,21.5,27.5,0.8194999999999999,12.0,32.5,42.5,24.0,11.0,9.0,16.0,26.0,107.0,0.57,0.55,0.461,0.259,0.439,28.9,68.9,53.2,52.6,9.6,10.1,17.1,100.0,105.7,98.75,,107.0,101.0,1.0,0.0
2,240.0,38.0,88.0,0.44,11.0,22.5,0.462,17.0,26.0,0.769,15.0,32.0,44.0,23.0,11.0,8.0,17.0,25.0,100.0,0.529,0.5,0.418,0.264,0.458,33.3,68.3,51.2,54.1,8.0,10.9,16.5,100.0,103.1,104.65,,102.5,102.0,1.0,1.0
3,240.0,41.0,86.0,0.452,11.0,22.0,0.5,19.5,28.0,0.8360000000000001,14.0,31.0,42.5,24.0,13.0,8.5,17.0,24.0,105.0,0.568,0.516,0.439,0.29600000000000004,0.381,32.6,66.7,52.9,56.8,8.1,10.3,18.7,100.0,104.5,101.05000000000001,,107.0,100.0,2.0,1.0
4,240.0,39.5,87.0,0.46399999999999997,11.0,21.0,0.4915,18.0,23.0,0.818,14.5,30.0,41.0,25.0,10.0,9.0,15.0,23.0,104.0,0.546,0.534,0.449,0.241,0.36,31.9,68.1,51.9,55.0,8.3,9.6,17.9,100.0,106.6,105.94999999999999,,103.5,100.0,2.0,2.0
5,240.0,40.0,86.0,0.451,11.0,21.0,0.5,19.0,25.5,0.849,12.0,32.0,42.5,24.0,10.0,8.5,16.0,24.0,101.0,0.523,0.527,0.468,0.244,0.384,30.0,71.1,51.2,55.0,7.9,8.1,16.0,100.0,105.1,105.1,,102.0,102.0,3.0,2.0
6,240.0,39.0,86.0,0.445,12.0,25.0,0.5,17.0,25.0,0.804,14.0,31.0,43.0,24.0,12.0,11.0,14.5,23.0,101.0,0.505,0.525,0.457,0.269,0.35100000000000003,32.2,68.6,51.1,52.9,8.0,11.5,14.9,100.0,106.7,99.9,,103.0,100.0,3.0,3.0
7,240.0,41.0,88.0,0.4655,10.0,22.0,0.5,18.0,23.0,0.8065,14.0,31.0,42.0,25.0,11.0,8.0,14.5,22.0,101.0,0.605,0.542,0.428,0.224,0.34600000000000003,32.4,66.0,51.5,57.6,8.3,9.8,14.2,100.0,106.0,102.25,,103.5,100.5,4.0,3.0
8,240.0,40.0,88.0,0.449,12.0,22.5,0.5569999999999999,20.0,27.0,0.8565,14.0,31.0,42.0,24.0,11.0,9.0,14.0,21.0,106.0,0.5760000000000001,0.5539999999999999,0.457,0.266,0.455,34.5,65.9,52.8,58.3,9.2,10.1,15.2,100.0,109.7,102.25,,106.0,99.0,5.0,3.0
9,240.0,40.0,88.0,0.453,10.5,24.0,0.5379999999999999,20.0,27.0,0.805,15.5,31.5,43.0,23.0,10.0,9.0,15.0,23.0,103.0,0.569,0.544,0.445,0.297,0.365,35.2,66.7,52.6,54.8,7.5,9.9,15.6,100.0,108.9,105.1,,105.0,102.0,6.0,3.0
10,240.0,38.0,87.0,0.4455,10.5,24.5,0.625,17.0,24.0,0.81,14.0,30.0,44.0,22.0,11.0,7.5,17.0,23.0,102.0,0.5379999999999999,0.517,0.453,0.277,0.344,33.3,68.4,50.6,50.0,7.9,9.1,16.8,100.0,104.4,110.25,,104.5,102.0,6.0,4.0
11,240.0,40.0,88.0,0.449,12.0,21.0,0.579,18.0,24.5,0.821,14.5,33.0,43.0,23.0,9.0,9.0,16.0,23.0,104.0,0.573,0.523,0.457,0.25,0.3720000000000001,31.9,62.5,53.7,53.1,7.5,9.3,18.1,100.0,106.1,100.55,,106.0,105.0,7.0,4.0
12,240.0,40.0,87.0,0.444,10.0,24.0,0.5,21.0,27.0,0.8245,13.5,32.0,44.0,22.0,10.0,8.5,15.0,22.0,103.0,0.535,0.507,0.425,0.253,0.366,27.0,72.7,50.5,52.4,7.8,8.3,15.2,100.0,103.4,101.25,,106.0,99.5,7.0,5.0
13,240.0,39.0,90.0,0.4345,11.5,25.0,0.5145,18.5,25.5,0.833,16.0,30.0,43.0,22.0,11.5,7.0,14.0,23.0,101.0,0.557,0.515,0.43,0.241,0.395,28.6,65.8,50.6,51.6,7.1,9.1,14.2,100.0,107.4,103.75,,104.0,101.0,8.0,5.0
14,240.0,40.0,90.0,0.448,11.0,21.0,0.5,18.0,23.5,0.8,15.0,33.0,44.5,24.0,10.5,10.0,15.0,22.0,101.0,0.561,0.519,0.448,0.222,0.358,31.6,69.0,52.6,53.1,8.3,9.9,15.3,100.0,102.8,101.19999999999999,,103.5,101.5,8.5,5.5
15,240.0,41.5,86.0,0.461,10.0,22.5,0.511,19.0,26.5,0.8,14.0,30.0,45.0,24.0,11.0,8.0,16.5,21.0,106.0,0.569,0.54,0.466,0.279,0.423,28.3,66.7,51.9,48.3,7.7,10.0,17.0,100.0,106.2,103.45,,108.0,102.0,9.0,6.0
16,240.0,38.0,87.0,0.442,9.5,21.0,0.5710000000000001,19.5,25.0,0.857,14.5,29.5,41.0,22.0,11.0,9.0,15.5,22.0,102.0,0.568,0.52,0.412,0.25,0.393,32.5,67.7,51.1,51.7,9.9,10.4,15.6,100.0,104.8,103.9,,103.0,100.5,10.0,6.0
17,240.0,39.5,88.0,0.458,9.5,22.0,0.5,18.0,24.0,0.8240000000000001,13.0,32.0,43.0,23.0,11.0,9.5,15.0,22.0,105.0,0.54,0.5429999999999999,0.451,0.262,0.348,30.0,63.8,52.1,50.0,8.2,10.2,15.0,100.0,105.0,105.05,,106.0,102.0,10.0,7.0
18,240.0,39.0,88.5,0.45499999999999996,10.5,23.0,0.5710000000000001,19.5,26.0,0.813,16.0,30.0,44.0,24.0,11.0,9.0,16.0,22.0,104.0,0.564,0.541,0.455,0.258,0.397,30.6,68.2,52.2,53.3,7.6,9.2,16.3,100.0,105.1,104.1,,106.0,103.0,11.0,7.0
19,240.0,40.0,91.0,0.452,11.0,22.0,0.526,17.0,23.0,0.822,14.5,31.0,44.0,24.0,11.5,9.0,14.5,23.0,102.0,0.5579999999999999,0.524,0.44,0.247,0.321,28.6,70.0,50.0,54.3,7.1,9.8,16.4,100.0,104.0,102.44999999999999,,103.0,98.5,12.0,7.0
