Name,Team,Number,Year
Dale Hamilton,WAT,14,1950
Bob Harris,FTW,14,1950
Joe Holland,INO,14,1950
Gene James,NYK,14,1950
Buddy Jeannette,BLB,14,1950
Andrew Levane,SYR,14,1950
Mike McCarron,STB,14,1950
Mac Otten,STB,14,1950
Arnie Risen,ROC,14,1950
Ed Sadowski,PHW,14,1950
Milt Schoon,SHE,14,1950
Paul Walther,MNL,14,1950
Jake Bornheimer,PHW,15,1950
Don Carlson,MNL,15,1950
Al Cervi,SYR,15,1950
Fran Curran,ROC,15,1950
Joe Graboski,CHS,15,1950
Alex Groza,INO,15,1950
Noble Jorgensen,SHE,15,1950
Jack Kerris,FTW,15,1950
John Mahnken,FTW,15,1950
Dick McGuire,NYK,15,1950
Jack Nichols,WSC,15,1950
Andy O'Donnell,BLB,15,1950
Don Otten,WSC,15,1950
Jim Seminoff,BOS,15,1950
Jack Smiley,AND,15,1950
Harry Donovan,NYK,16,1950
Johnny Ezersky,BOS,16,1950
Bob Harrison,MNL,16,1950
Bill Henry,FTW,16,1950
Red Holzman,ROC,16,1950
John Mahnken,BOS,16,1950
Mal McMullen,INO,16,1950
Kenny Rollins,CHS,16,1950
Price Brookfield,ROC,17,1950
Wah Wah,INO,17,1950
Ron Livingstone,BLB,17,1950
John Mandic,BLB,17,1950
Mike McCarron,BLB,17,1950
Bones McKinney,WSC,17,1950
Stan Miasek,CHS,17,1950
Joe Mullaney,BOS,17,1950
Jim Pollard,MNL,17,1950
Ed Sadowski,BLB,17,1950
Butch van,NYK,17,1950
Clint Wager,FTW,17,1950
Murray Wier,TRI,17,1950
Arnie Ferrin,MNL,18,1950
Dee Gibson,TRI,18,1950
Ed Mikan,ROC,18,1950
Leo Mogus,PHW,18,1950
George Nostrand,CHS,18,1950
Mike Novak,ROC,18,1950
Ed Bartels,NYK,19,1950
Vince Boryla,NYK,19,1950
Bill Calhoun,ROC,19,1950
Bob Doll,BOS,19,1950
Marshall Hawkins,INO,19,1950
Lee Knorek,BLB,19,1950
Vern Mikkelsen,MNL,19,1950
Jim Nolan,PHW,19,1950
Mike Novak,PHW,19,1950
Andy Phillip,CHS,19,1950
Bob Brown,DNN,20,1950
